time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision,episode
15,HMI Supervision,38.02330869502665,2,ORANGE,2.0,False,False,20
30,Material Delivery,50.83021715347845,3,RED,0.1,True,False,20
45,Packaging Preparation,66.30492116203773,4,RED,0.1,True,False,20
0,Rest Period,26.851423119457934,2,GREEN,5.0,False,False,21
15,HMI Supervision,37.25832748676092,2,ORANGE,2.0,False,False,21
30,Material Delivery,51.242067119415914,3,RED,0.1,True,False,21
45,Packaging Preparation,67.75807177663025,4,RED,0.1,True,False,21
0,Rest Period,28.548347496447434,2,GREEN,5.0,False,False,22
15,HMI Supervision,39.47617477380827,2,ORANGE,2.0,False,False,22
30,Material Delivery,52.98274989323849,3,RED,0.1,True,False,22
45,Packaging Preparation,70.39601640791268,4,RED,0.1,True,False,22
0,Rest Period,27.418227648336554,2,GREEN,5.0,False,False,23
15,HMI Supervision,38.105844270741,2,ORANGE,2.0,False,False,23
30,Material Delivery,52.13856938435426,3,RED,0.1,True,False,23
45,Packaging Preparation,66.8824292690112,4,RED,0.1,True,False,23
0,Rest Period,29.095091129196295,2,GREEN,5.0,False,False,24
15,HMI Supervision,38.82154100920418,2,ORANGE,2.0,False,False,24
30,Material Delivery,53.40195735325215,3,RED,0.1,True,False,24
45,Packaging Preparation,70.69450477514317,4,RED,0.1,True,False,24
0,Rest Period,28.420702596462693,2,GREEN,5.0,False,False,25
15,HMI Supervision,37.79057631179287,2,ORANGE,2.0,False,False,25
30,Material Delivery,52.03751338824313,3,RED,0.1,True,False,25
45,Packaging Preparation,66.8082370408431,4,RED,0.1,True,False,25
0,Rest Period,26.75821073383863,2,GREEN,5.0,False,False,26
15,HMI Supervision,36.90616565046547,2,ORANGE,2.0,False,False,26
30,Material Delivery,51.28013756447773,3,RED,0.1,True,False,26
45,Packaging Preparation,68.01123286500332,4,RED,0.1,True,False,26
0,Rest Period,27.594293212195687,2,GREEN,5.0,False,False,27
15,HMI Supervision,37.94505533928059,2,ORANGE,2.0,False,False,27
30,Material Delivery,52.33479530879855,3,RED,0.1,True,False,27
45,Packaging Preparation,67.08049131352672,4,RED,0.1,True,False,27
0,Rest Period,27.437178179649305,2,GREEN,5.0,False,False,28
15,HMI Supervision,38.43792939470172,2,ORANGE,2.0,False,False,28
30,Material Delivery,53.481739283645865,3,RED,0.1,True,False,28
45,Packaging Preparation,70.47808356801455,4,RED,0.1,True,False,28
0,Rest Period,28.2507191388748,2,GREEN,5.0,False,False,29
15,HMI Supervision,37.68815754434887,2,ORANGE,2.0,False,False,29
30,Material Delivery,51.02651243555886,3,RED,0.1,True,False,29
45,Packaging Preparation,67.54347850542086,4,RED,0.1,True,False,29
0,Rest Period,29.19959690516111,2,GREEN,5.0,False,False,30
15,HMI Supervision,40.08347432950421,2,RED,0.1,True,False,30
30,Material Delivery,52.68159828961976,3,RED,0.1,True,False,30
45,Packaging Preparation,68.50106940571834,4,RED,0.1,True,False,30
0,Rest Period,29.260048140202947,2,GREEN,5.0,False,False,31
15,HMI Supervision,38.89689041326282,2,ORANGE,2.0,False,False,31
30,Material Delivery,53.82656172679485,3,RED,0.1,True,False,31
45,Packaging Preparation,68.8156334436572,4,RED,0.1,True,False,31
0,Rest Period,29.188363960559638,2,GREEN,5.0,False,False,32
15,HMI Supervision,39.379186912439266,2,ORANGE,2.0,False,False,32
30,Material Delivery,53.65005707492995,3,RED,0.1,True,False,32
45,Packaging Preparation,68.5447267638392,4,RED,0.1,True,False,32
0,Rest Period,29.034943717731963,2,GREEN,5.0,False,False,33
15,HMI Supervision,39.480945357132455,2,ORANGE,2.0,False,False,33
30,Material Delivery,53.03892566903558,3,RED,0.1,True,False,33
45,Packaging Preparation,70.08197497812161,4,RED,0.1,True,False,33
0,Rest Period,29.008058751494072,2,GREEN,5.0,False,False,34
15,HMI Supervision,39.08085697320456,2,ORANGE,2.0,False,False,34
30,Material Delivery,53.86310052252186,3,RED,0.1,True,False,34
45,Packaging Preparation,70.56141419851909,4,RED,0.1,True,False,34
0,Rest Period,29.06791394214385,2,GREEN,5.0,False,False,35
15,HMI Supervision,38.867835676950136,2,ORANGE,2.0,False,False,35
30,Material Delivery,53.036237270329465,3,RED,0.1,True,False,35
45,Packaging Preparation,68.97580690853466,4,RED,0.1,True,False,35
0,Rest Period,27.492872668054822,2,GREEN,5.0,False,False,36
15,HMI Supervision,36.59917817043231,2,ORANGE,2.0,False,False,36
30,Material Delivery,51.44923373467276,3,RED,0.1,True,False,36
45,Packaging Preparation,66.30209798028531,4,RED,0.1,True,False,36
0,Rest Period,28.754683173587374,2,GREEN,5.0,False,False,37
15,HMI Supervision,39.05169302998357,2,ORANGE,2.0,False,False,37
30,Material Delivery,51.75088503204398,3,RED,0.1,True,False,37
45,Packaging Preparation,67.93132377241243,4,RED,0.1,True,False,37
0,Rest Period,28.640098381016145,2,GREEN,5.0,False,False,38
15,HMI Supervision,38.722862081101546,2,ORANGE,2.0,False,False,38
30,Material Delivery,53.49643156450623,3,RED,0.1,True,False,38
45,Packaging Preparation,69.35052982497132,4,RED,0.1,True,False,38
0,Rest Period,26.811165440314344,2,GREEN,5.0,False,False,39
15,HMI Supervision,37.53648548254388,2,ORANGE,2.0,False,False,39
30,Material Delivery,51.23246419745969,3,RED,0.1,True,False,39
45,Packaging Preparation,66.17962710443388,4,RED,0.1,True,False,39
0,Rest Period,28.178481594882975,2,GREEN,5.0,False,False,40
15,HMI Supervision,38.55047832208562,2,ORANGE,2.0,False,False,40
30,Material Delivery,53.76955245513593,3,RED,0.1,True,False,40
45,Packaging Preparation,69.99402896369753,4,RED,0.1,True,False,40
0,Rest Period,27.84015616293653,2,GREEN,5.0,False,False,41
15,HMI Supervision,37.60066124702557,2,ORANGE,2.0,False,False,41
30,Material Delivery,50.19581908030259,3,RED,0.1,True,False,41
45,Packaging Preparation,64.78848756119241,4,RED,0.1,True,False,41
0,Rest Period,28.97775212426873,2,GREEN,5.0,False,False,42
15,HMI Supervision,38.97584152073425,2,ORANGE,2.0,False,False,42
30,Material Delivery,52.90244981231021,3,RED,0.1,True,False,42
45,Packaging Preparation,67.90342781472135,4,RED,0.1,True,False,42
0,Rest Period,27.785097356777143,2,GREEN,5.0,False,False,43
15,HMI Supervision,38.10663559502111,2,ORANGE,2.0,False,False,43
30,Material Delivery,51.706804789828965,3,RED,0.1,True,False,43
45,Packaging Preparation,67.76687217987104,4,RED,0.1,True,False,43
0,Rest Period,28.464190378525444,2,GREEN,5.0,False,False,44
15,HMI Supervision,37.65103356080031,2,ORANGE,2.0,False,False,44
30,Material Delivery,50.28000011721143,3,RED,0.1,True,False,44
45,Packaging Preparation,67.74313919218554,4,RED,0.1,True,False,44
0,Rest Period,27.758123507399024,2,GREEN,5.0,False,False,45
15,HMI Supervision,37.72421181728697,2,ORANGE,2.0,False,False,45
30,Material Delivery,52.905898633773475,3,RED,0.1,True,False,45
45,Packaging Preparation,70.43632034364825,4,RED,0.1,True,False,45
0,Rest Period,27.256014861800065,2,GREEN,5.0,False,False,46
15,HMI Supervision,36.50357864456869,2,ORANGE,2.0,False,False,46
30,Material Delivery,49.32207450507773,3,RED,0.1,True,False,46
45,Packaging Preparation,63.99559006663507,4,RED,0.1,True,False,46
0,Rest Period,28.950124561630275,2,GREEN,5.0,False,False,47
15,HMI Supervision,39.632206211634035,2,ORANGE,2.0,False,False,47
30,Material Delivery,52.516886080698455,3,RED,0.1,True,False,47
45,Packaging Preparation,68.98079261886188,4,RED,0.1,True,False,47
0,Rest Period,28.663535424328145,2,GREEN,5.0,False,False,48
15,HMI Supervision,38.275424915196474,2,ORANGE,2.0,False,False,48
30,Material Delivery,52.92464007227447,3,RED,0.1,True,False,48
45,Packaging Preparation,70.54916157809663,4,RED,0.1,True,False,48
0,Rest Period,27.715967203919163,2,GREEN,5.0,False,False,49
15,HMI Supervision,37.44598231982773,2,ORANGE,2.0,False,False,49
30,Material Delivery,52.39595389746973,3,RED,0.1,True,False,49
45,Packaging Preparation,69.25125002508044,4,RED,0.1,True,False,49
0,Rest Period,27.014153297661785,2,GREEN,5.0,False,False,50
15,HMI Supervision,37.07471056628198,2,ORANGE,2.0,False,False,50
30,Material Delivery,50.522648953157386,3,RED,0.1,True,False,50
45,Packaging Preparation,66.21698634189406,4,RED,0.1,True,False,50
0,Rest Period,29.108046958454278,2,GREEN,5.0,False,False,51
15,HMI Supervision,38.79486737001101,2,ORANGE,2.0,False,False,51
30,Material Delivery,54.00206130996679,3,RED,0.1,True,False,51
45,Packaging Preparation,70.47525876103185,4,RED,0.1,True,False,51
0,Rest Period,27.510280114131948,2,GREEN,5.0,False,False,52
15,HMI Supervision,37.9070422108468,2,ORANGE,2.0,False,False,52
30,Material Delivery,52.67054774284191,3,RED,0.1,True,False,52
45,Packaging Preparation,67.40831933362821,4,RED,0.1,True,False,52
0,Rest Period,26.89522836364344,2,GREEN,5.0,False,False,53
15,HMI Supervision,36.82770467140393,2,ORANGE,2.0,False,False,53
30,Material Delivery,50.36175755642423,3,RED,0.1,True,False,53
45,Packaging Preparation,65.26576085581384,4,RED,0.1,True,False,53
0,Rest Period,28.35854914525544,2,GREEN,5.0,False,False,54
15,HMI Supervision,37.57260382554659,2,ORANGE,2.0,False,False,54
30,Material Delivery,50.33061261330269,3,RED,0.1,True,False,54
45,Packaging Preparation,67.04265016247504,4,RED,0.1,True,False,54
0,Rest Period,26.96642643376235,2,GREEN,5.0,False,False,55
15,HMI Supervision,36.76371073323215,2,ORANGE,2.0,False,False,55
30,Material Delivery,51.58642152588058,3,RED,0.1,True,False,55
45,Packaging Preparation,69.196484940752,4,RED,0.1,True,False,55
0,Rest Period,27.72703751823569,2,GREEN,5.0,False,False,56
15,HMI Supervision,38.334102819249836,2,ORANGE,2.0,False,False,56
30,Material Delivery,52.0726822250489,3,RED,0.1,True,False,56
45,Packaging Preparation,66.87462614325165,4,RED,0.1,True,False,56
0,Rest Period,26.774633012842962,2,GREEN,5.0,False,False,57
15,HMI Supervision,35.932802596963455,2,ORANGE,2.0,False,False,57
30,Material Delivery,48.81570082547158,3,RED,0.1,True,False,57
45,Packaging Preparation,65.6555048879136,4,RED,0.1,True,False,57
0,Rest Period,29.256270351518555,2,GREEN,5.0,False,False,58
15,HMI Supervision,38.8755516449451,2,ORANGE,2.0,False,False,58
30,Material Delivery,52.05438403441437,3,RED,0.1,True,False,58
45,Packaging Preparation,66.53839989816868,4,RED,0.1,True,False,58
0,Rest Period,26.857647370191003,2,GREEN,5.0,False,False,59
15,HMI Supervision,36.96332659945447,2,ORANGE,2.0,False,False,59
30,Material Delivery,49.72421901506623,3,RED,0.1,True,False,59
45,Packaging Preparation,67.28068015440354,4,RED,0.1,True,False,59
0,Rest Period,28.387730445533037,2,GREEN,5.0,False,False,60
15,HMI Supervision,38.34635798571627,2,ORANGE,2.0,False,False,60
